"ts_code","symbol","name","area","industry","cnspell","market","list_date","act_name","act_ent_type","exchange","list_status","fullname","enname"
"000001.SZ","000001","平安银行","深圳","银行","payh","主板","19910403","无实际控制人","无","SZSE","L","平安银行股份有限公司","Ping An Bank Co., Ltd."
"000002.SZ","000002","万科A","深圳","全国地产","wka","主板","19910129","深圳市人民政府国有资产监督管理委员会","地方国企","SZSE","L","万科企业股份有限公司","China Vanke Co.,Ltd."
"000004.SZ","000004","*ST国华","深圳","软件服务","stgh","主板","19910114","李映彤","民营企业","SZSE","L","深圳国华网安科技股份有限公司","Shenzhen Guohua Network Security Technology Co., Ltd."
"000006.SZ","000006","深振业A","深圳","区域地产","szya","主板","19920427","深圳市人民政府国有资产监督管理委员会","地方国企","SZSE","L","深圳市振业(集团)股份有限公司","Shenzhen Zhenye(Group) Co., Ltd."
"000007.SZ","000007","全新好","深圳","其他商业","qxh","主板","19920413","王玩虹","民营企业","SZSE","L","深圳市全新好股份有限公司","Shenzhen Quanxinhao Co,.Ltd."
"000008.SZ","000008","神州高铁","北京","运输设备","szgt","主板","19920507","","","SZSE","L","神州高铁技术股份有限公司","China High Speed Railway Technology Co.,Ltd."
"000009.SZ","000009","中国宝安","深圳","电气设备","zgba","主板","19910625","无实际控制人","无","SZSE","L","中国宝安集团股份有限公司","China Baoan Group Co., Ltd."
"000010.SZ","000010","美丽生态","深圳","建筑工程","mlst","主板","19951027","","","SZSE","L","深圳美丽生态股份有限公司","Shenzhen Ecobeauty Co.,Ltd."
"000011.SZ","000011","深物业A","深圳","房产服务","swya","主板","19920330","深圳市人民政府国有资产监督管理委员会","地方国企","SZSE","L","深圳市物业发展(集团)股份有限公司","Shenzhen Properties & Resources Development (Group) Ltd."
"000012.SZ","000012","南玻A","深圳","玻璃","nba","主板","19920228","深圳市人民政府国有资产监督管理委员会","地方国企","SZSE","L","中国南玻集团股份有限公司","CSG Holding Co., Ltd."
